,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,define.1,question.1,  .1,letrec.1,-----------.1,f.1,lambda.1,x.1,cons.1,if.1,=.1,modulo.1,x.2,3.1,0.1,*.1,x.3,2.1,x.4,lambda.2,().1,f.2,+.1,x.5,1.1,).1,).2,).3,).4,].1,).5,lambda.3,().2,f.3,1.2,).6,).7,).8,question,code,choices
0,57,34,510341781255,3598563401,1,1,"(0.3086951971054077, 0.1545298546552658)","(0.31084686517715454, 0.20692428946495056)",1,1,2.583099365234375,2.637603759765625,"(-33.27691650390625, 11.173996925354004, 523.805908203125)","(25.510883331298828, 14.753397941589355, 520.6822509765625)","(-67.72029113769531, 171.92950439453125, 51.9354362487793)","(-66.97684478759766, 162.36038208007812, 48.45252990722656)",POINT (0.3097710311412811 0.1807270720601082),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,57,34,510341797922,3598580068,1,1,"(0.280245840549469, 0.1669352948665619)","(0.2734141945838928, 0.21116618812084198)",1,1,2.5971221923828125,2.6590576171875,"(-33.385292053222656, 11.173652648925781, 524.3826904296875)","(25.429458618164062, 14.742345809936523, 520.6283569335938)","(-77.55025482177734, 169.663818359375, 51.110809326171875)","(-79.91077423095703, 161.58563232421875, 48.17057418823242)",POINT (0.2768300175666809 0.1890507414937019),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,57,34,510341814589,3598596734,1,1,"(0.28631719946861267, 0.16629400849342346)","(0.2827506363391876, 0.20196133852005005)",1,1,2.62188720703125,2.645370483398437,"(-33.407920837402344, 11.173358917236328, 524.481201171875)","(25.417211532592773, 14.773581504821777, 520.6594848632812)","(-75.45246887207031, 169.78094482421875, 51.153419494628906)","(-76.68480682373047, 163.2667694091797, 48.78246307373047)",POINT (0.2845339179039002 0.1841276735067368),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,57,34,510341831256,3598613401,1,1,"(0.2860831022262573, 0.16611000895500183)","(0.2809518575668335, 0.20582793653011322)",1,1,2.604766845703125,2.6412353515625,"(-33.42924118041992, 11.179855346679688, 524.4940795898438)","(25.39287567138672, 14.8098726272583, 520.7593994140625)","(-75.53336334228516, 169.81455993652344, 51.16564178466797)","(-77.30632019042969, 162.5605926513672, 48.525421142578125)",POINT (0.2835174798965454 0.1859689727425575),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,57,34,510341847924,3598630068,1,1,"(0.2866101861000061, 0.1631150096654892)","(0.27928370237350464, 0.2100597470998764)",1,1,2.579086303710937,2.633819580078125,"(-33.455745697021484, 11.185718536376953, 524.498291015625)","(25.38369369506836, 14.829744338989258, 520.9111328125)","(-75.3512191772461, 170.36154174804688, 51.36472702026367)","(-77.88270568847656, 161.7877197265625, 48.24413299560547)",POINT (0.2829469442367554 0.1865873783826828),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,57,34,510341864590,3598646734,1,1,"(0.2899642586708069, 0.16746112704277039)","(0.28454580903053284, 0.21951735019683838)",1,1,2.5910186767578125,2.631698608398437,"(-33.43675231933594, 11.18879508972168, 524.6025390625)","(25.35971450805664, 14.803544998168945, 520.89013671875)","(-74.19230651855469, 169.56776428222656, 51.075843811035156)","(-76.06451416015625, 160.06039428710938, 47.61542510986328)",POINT (0.2872550338506699 0.1934892386198044),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,57,34,510341881258,3598663401,1,1,"(0.3027903139591217, 0.20329785346984863)","(0.31753695011138916, 0.2661207914352417)",1,1,2.566650390625,2.5554656982421875,"(-33.19306182861328, 11.244376182556152, 524.835205078125)","(25.260990142822266, 14.740499496459961, 521.7897338867188)","(-69.7605972290039, 163.022705078125, 48.69359588623047)","(-64.66525268554688, 151.5489044189453, 44.51749801635742)",POINT (0.3101636320352554 0.2347093224525452),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,57,34,510341964600,3598746741,1,1,"(0.3454422056674957, 0.13872130215168)","(0.3596994876861572, 0.3115772008895874)",1,1,2.56060791015625,2.3716583251953125,"(-32.9676513671875, 11.662405967712402, 524.650634765625)","(25.80868911743164, 15.195901870727539, 521.7482299804688)","(-55.023277282714844, 174.8167266845703, 52.9863166809082)","(-50.0970344543457, 143.24688720703125, 41.495819091796875)",POINT (0.3525708466768265 0.2251492515206337),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,57,34,510341981268,3598763408,1,1,"(0.3476802110671997, 0.19028279185295105)","(0.35914477705955505, 0.1653391420841217)",1,1,2.5858612060546875,2.62939453125,"(-32.96467208862305, 11.664192199707031, 524.734375)","(25.82270050048828, 15.17745304107666, 521.8756713867188)","(-54.249996185302734, 165.3997039794922, 49.55880355834961)","(-50.2886848449707, 169.95533752441406, 51.21689987182617)",POINT (0.3534124940633774 0.1778109669685364),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,57,34,510341997933,3598780073,1,1,"(0.34684494137763977, 0.15954169631004333)","(0.3552296757698059, 0.20383675396442413)",1,1,2.598602294921875,2.588134765625,"(-32.966880798339844, 11.665847778320312, 524.45849609375)","(25.805246353149414, 15.185883522033691, 521.8016357421875)","(-54.53859329223633, 171.01416015625, 51.60227966308594)","(-51.64146041870117, 162.9242706298828, 48.65776443481445)",POINT (0.3510373085737228 0.1816892251372337),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
